1627752, 0022300061, 00:29:53, 6, 8, 4, 6, 2, 2, 1, 2, 1, 0, 1, 1, 0, 18, -14.0
2544, 0022300061, 00:29:01, 10, 16, 1, 4, 0, 1, 1, 7, 5, 1, 0, 0, 1, 21, 7.0
203076, 0022300061, 00:34:09, 6, 17, 1, 2, 4, 4, 1, 7, 4, 0, 2, 2, 3, 17, -17.0
1630559, 0022300061, 00:31:20, 4, 11, 1, 2, 5, 7, 4, 4, 4, 2, 0, 2, 2, 14, -14.0
1626156, 0022300061, 00:36:11, 4, 12, 2, 5, 1, 2, 0, 4, 7, 1, 0, 3, 3, 11, 1.0
1629060, 0022300061, 00:14:38, 3, 10, 0, 3, 0, 0, 2, 1, 0, 0, 0, 0, 2, 6, -8.0
1629216, 0022300061, 00:22:18, 3, 8, 0, 4, 0, 0, 1, 0, 2, 1, 0, 2, 3, 6, -17.0
1629637, 0022300061, 00:06:54, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, -7.0
1629629, 0022300061, 00:17:38, 2, 4, 1, 2, 2, 2, 2, 2, 0, 0, 1, 0, 2, 7, 7.0
1626174, 0022300061, 00:15:28, 3, 4, 0, 1, 1, 2, 1, 3, 0, 0, 0, 1, 1, 7, 2.0
1631108, 0022300061, 00:01:15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0
1641721, 0022300061, 00:01:15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0
1629008, 0022300061, 00:30:07, 5, 13, 2, 9, 0, 0, 2, 10, 2, 2, 0, 0, 1, 12, 12.0
203932, 0022300061, 00:34:58, 7, 11, 1, 2, 0, 0, 2, 5, 5, 2, 1, 0, 0, 15, 6.0
203999, 0022300061, 00:36:15, 12, 22, 3, 5, 2, 4, 3, 10, 11, 1, 1, 2, 2, 29, 15.0
203484, 0022300061, 00:36:14, 8, 12, 2, 3, 2, 2, 1, 1, 1, 3, 1, 3, 5, 20, 10.0
1627750, 0022300061, 00:34:14, 8, 13, 3, 5, 2, 2, 0, 2, 6, 0, 1, 1, 3, 21, 3.0
202704, 0022300061, 00:24:04, 3, 8, 2, 5, 0, 0, 0, 3, 1, 1, 0, 2, 0, 8, 11.0
1631212, 0022300061, 00:10:51, 1, 3, 1, 3, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3, 1.0
1630192, 0022300061, 00:11:45, 1, 3, 0, 1, 2, 2, 0, 0, 1, 0, 0, 1, 2, 4, -3.0
1631128, 0022300061, 00:19:20, 2, 5, 0, 1, 1, 2, 1, 2, 2, 0, 1, 1, 1, 5, 5.0
