1, 0022300061, 1610612747, 41, 90, 10, 29, 15, 20, 13, 31, 23, 5, 4, 11, 18, 107
2, 0022300062, 1610612756, 42, 95, 11, 33, 13, 17, 17, 43, 23, 5, 7, 19, 22, 108
3, 0022300063, 1610612766, 43, 86, 11, 37, 19, 26, 12, 39, 34, 5, 3, 19, 21, 116
4, 0022300064, 1610612764, 44, 96, 9, 24, 23, 29, 11, 34, 28, 6, 9, 14, 11, 120
5, 0022300065, 1610612752, 36, 97, 18, 41, 14, 26, 17, 30, 24, 9, 0, 9, 22, 104
6, 0022300066, 1610612753, 42, 87, 9, 34, 23, 26, 17, 40, 19, 8, 6, 14, 20, 116
7, 0022300067, 1610612739, 44, 94, 17, 43, 9, 10, 9, 29, 25, 10, 6, 10, 23, 114
8, 0022300068, 1610612748, 37, 92, 8, 22, 21, 26, 16, 32, 22, 11, 3, 7, 18, 103
9, 0022300069, 1610612761, 36, 90, 14, 35, 11, 16, 8, 39, 27, 9, 11, 14, 18, 97
10, 0022300070, 1610612760, 45, 82, 19, 39, 15, 18, 5, 38, 30, 6, 4, 15, 19, 124
11, 0022300071, 1610612740, 40, 85, 14, 32, 17, 22, 11, 41, 22, 8, 5, 21, 21, 111
12, 0022300072, 1610612762, 41, 91, 9, 28, 23, 31, 16, 38, 22, 6, 2, 14, 20, 114
13, 0022300073, 1610612759, 46, 89, 11, 35, 16, 22, 9, 36, 33, 8, 5, 19, 23, 119
14, 0022300074, 1610612757, 44, 93, 10, 32, 13, 17, 15, 25, 20, 10, 4, 17, 20, 111
15, 0022300075, 1610612755, 41, 80, 16, 35, 19, 28, 4, 35, 25, 8, 4, 15, 28, 117
16, 0022300076, 1610612756, 34, 81, 9, 31, 18, 23, 10, 39, 16, 7, 3, 20, 21, 95
17, 0022300077, 1610612765, 40, 88, 10, 30, 21, 25, 12, 41, 28, 7, 6, 23, 29, 111
18, 0022300078, 1610612763, 37, 84, 10, 33, 20, 24, 13, 35, 22, 13, 7, 20, 23, 104
19, 0022300079, 1610612752, 43, 90, 20, 44, 20, 28, 12, 33, 30, 9, 6, 16, 21, 126
20, 0022300080, 1610612748, 38, 89, 16, 33, 19, 23, 11, 34, 24, 8, 6, 12, 16, 111
21, 0022300081, 1610612760, 40, 87, 13, 26, 15, 19, 6, 41, 22, 8, 10, 18, 17, 108
22, 0022300082, 1610612761, 39, 84, 9, 36, 16, 25, 8, 45, 25, 5, 2, 21, 29, 103
23, 0022300083, 1610612759, 46, 94, 13, 42, 21, 28, 12, 31, 32, 11, 4, 18, 17, 126
24, 0022300084, 1610612742, 44, 91, 15, 36, 22, 28, 8, 32, 20, 5, 2, 9, 15, 125
25, 0022300085, 1610612762, 42, 96, 16, 41, 20, 22, 17, 28, 27, 7, 4, 14, 24, 120
26, 0022300086, 1610612757, 35, 88, 9, 32, 18, 21, 15, 32, 15, 6, 1, 16, 24, 97
27, 0022300087, 1610612758, 41, 94, 12, 40, 20, 29, 10, 31, 24, 10, 3, 14, 16, 114
28, 0022300088, 1610612765, 45, 86, 12, 28, 16, 20, 15, 38, 29, 4, 4, 15, 18, 118
29, 0022300089, 1610612764, 40, 93, 16, 46, 17, 22, 11, 34, 25, 9, 5, 11, 15, 113
30, 0022300090, 1610612752, 33, 90, 7, 37, 14, 18, 16, 43, 19, 7, 3, 18, 17, 87
31, 0022300091, 1610612754, 48, 98, 15, 38, 14, 17, 11, 37, 36, 3, 4, 7, 20, 125
32, 0022300092, 1610612761, 38, 87, 17, 32, 14, 19, 13, 28, 28, 5, 5, 13, 19, 107
33, 0022300093, 1610612750, 44, 86, 12, 34, 6, 8, 7, 40, 30, 9, 3, 14, 17, 106
34, 0022300094, 1610612762, 40, 91, 12, 37, 12, 14, 15, 30, 26, 6, 5, 18, 20, 104
35, 0022300095, 1610612760, 37, 90, 6, 32, 15, 18, 7, 22, 22, 8, 4, 9, 14, 95
36, 0022300096, 1610612745, 34, 90, 9, 33, 18, 19, 10, 32, 22, 7, 4, 7, 20, 95
37, 0022300097, 1610612749, 39, 86, 16, 44, 16, 20, 12, 27, 22, 10, 3, 23, 22, 110
38, 0022300098, 1610612757, 36, 94, 7, 31, 19, 22, 14, 28, 19, 10, 9, 15, 26, 98
39, 0022300099, 1610612759, 30, 80, 11, 33, 12, 16, 6, 31, 21, 9, 6, 25, 23, 83
40, 0022300100, 1610612758, 49, 104, 17, 48, 17, 24, 6, 41, 30, 6, 7, 10, 28, 132
41, 0022300101, 1610612766, 47, 96, 8, 31, 19, 20, 8, 31, 33, 8, 5, 9, 23, 121
42, 0022300102, 1610612754, 36, 88, 12, 46, 21, 25, 11, 36, 26, 7, 5, 17, 24, 105
43, 0022300103, 1610612764, 39, 87, 11, 36, 18, 26, 11, 29, 26, 12, 4, 15, 13, 107
44, 0022300104, 1610612750, 44, 90, 16, 33, 9, 15, 10, 28, 24, 5, 5, 10, 17, 113
45, 0022300105, 1610612761, 38, 94, 4, 29, 11, 15, 14, 33, 19, 10, 4, 11, 17, 91
46, 0022300106, 1610612763, 42, 92, 14, 37, 12, 20, 10, 34, 22, 9, 4, 12, 22, 110
47, 0022300107, 1610612749, 44, 87, 12, 37, 22, 30, 9, 34, 24, 8, 5, 14, 23, 122
48, 0022300108, 1610612740, 38, 93, 10, 39, 16, 26, 14, 25, 23, 8, 3, 11, 18, 102
49, 0022300109, 1610612760, 44, 83, 13, 29, 23, 28, 6, 38, 21, 9, 10, 15, 19, 124
50, 0022300110, 1610612762, 42, 98, 11, 37, 7, 15, 17, 34, 30, 6, 2, 12, 21, 102
51, 0022300111, 1610612753, 38, 95, 14, 35, 13, 18, 12, 32, 28, 10, 3, 11, 22, 103
52, 0022300112, 1610612752, 38, 86, 13, 34, 20, 25, 12, 36, 18, 9, 1, 14, 17, 109
53, 0022300113, 1610612759, 43, 92, 14, 37, 15, 20, 8, 29, 25, 10, 9, 12, 17, 115
